raMean,decMean,rMeanPSFMag
252.01624002,16.92408263,-999.0
252.01527623,16.92223715,21.74799919128418
252.01582588,16.92003698,22.101200103759766
252.01226657,16.91819041,-999.0
252.01285074,16.91393091,21.332199096679688
252.01251117,16.91464448,-999.0
252.02902329,16.91294739,-999.0
252.03085991,16.91374557,-999.0
252.0290805,16.91625602,-999.0
252.03055349,16.91646503,-999.0
252.02709175,16.91283238,22.063400268554688
252.02759745,16.91372664,-999.0
252.02917039,16.91392935,-999.0
252.02965108,16.91408974,21.943599700927734
252.02921219,16.91483484,-999.0
252.02995478,16.92341609,-999.0
252.02949985,16.92185489,-999.0
252.02973922,16.92272716,21.18630027770996
252.02690395,16.91910434,-999.0
252.02642168,16.92037491,21.34440040588379
252.02685691,16.9202626,-999.0
252.03015921,16.91973074,-999.0
252.02759492,16.91907268,-999.0
252.02754692,16.91990799,-999.0
252.02904621,16.92038129,21.00749969482422
252.02847782,16.92074835,-999.0
252.02149262,16.91360798,16.96139907836914
252.02063618,16.91428542,18.762800216674805
252.02505156,16.91422471,18.11440086364746
252.02487117,16.91448474,-999.0
252.02453138,16.91416466,-999.0
252.02370144,16.9175589,-999.0
252.02180729,16.91550602,-999.0
252.02689496,16.91819234,-999.0
252.02577417,16.91733204,-999.0
252.03046289,16.91832133,-999.0
252.02861349,16.91850269,20.53219985961914
252.02848673,16.91682,18.660499572753906
252.02541499,16.91634696,-999.0
252.01869537,16.91522751,21.95439910888672
252.02000682,16.91480404,-999.0
252.02388057,16.91836129,21.777700424194336
252.02197846,16.91820251,-999.0
252.02054374,16.91597568,21.3976993560791
252.02402451,16.92326147,22.038799285888672
252.02547098,16.92458492,-999.0
252.02443048,16.91905093,-999.0
252.0246121,16.91970722,-999.0
252.02576314,16.92054672,-999.0
252.0259723,16.92102584,-999.0
252.02456708,16.92157585,-999.0
252.02527318,16.92074423,-999.0
252.02532382,16.92192649,-999.0
252.02249121,16.92398982,-999.0
252.02003322,16.92430288,-999.0
252.01906977,16.92246629,-999.0
252.02382457,16.92216728,-999.0
252.01941249,16.92055533,-999.0
252.02363351,16.91899616,-999.0
252.02385343,16.9213922,-999.0
252.02158304,16.92044145,-999.0
