id ra dec
204 222.51957222471322 -20.0
205 223.60503355263864 -20.0
206 224.69049488056407 -20.0
207 225.7759562084895 -20.0
208 226.86141753641496 -20.0
209 227.9468788643404 -20.0
210 229.03234019226582 -20.0
211 230.11780152019125 -20.0
212 231.20326284811668 -20.0
213 232.2887241760421 -20.0
214 233.37418550396754 -20.0
215 234.45964683189297 -20.0
216 235.5451081598184 -20.0
217 236.63056948774383 -20.0
218 237.71603081566926 -20.0
219 238.8014921435947 -20.0
220 239.88695347152012 -20.0
221 240.97241479944554 -20.0
222 242.05787612737097 -20.0
223 243.1433374552964 -20.0
224 244.22879878322183 -20.0
225 245.31426011114726 -20.0
226 246.3997214390727 -20.0
227 247.48518276699812 -20.0
228 248.57064409492355 -20.0
229 249.65610542284898 -20.0
230 250.7415667507744 -20.0
231 251.82702807869984 -20.0
232 252.91248940662527 -20.0
233 253.9979507345507 -20.0
234 255.08341206247613 -20.0
235 256.1688733904016 -20.0
236 257.254334718327 -20.0
237 258.33979604625245 -20.0
238 259.4252573741779 -20.0
239 260.5107187021033 -20.0
240 261.59618003002873 -20.0
241 262.68164135795416 -20.0
242 263.7671026858796 -20.0
243 264.852564013805 -20.0
244 265.93802534173045 -20.0
245 267.0234866696559 -20.0
246 268.1089479975813 -20.0
247 269.19440932550674 -20.0
248 270.27987065343217 -20.0
249 271.3653319813576 -20.0
250 272.45079330928303 -20.0
251 273.53625463720846 -20.0
252 274.6217159651339 -20.0
253 275.7071772930593 -20.0
254 276.79263862098475 -20.0
255 277.8780999489102 -20.0
256 278.9635612768356 -20.0
257 280.04902260476103 -20.0
258 281.13448393268646 -20.0
259 282.2199452606119 -20.0
260 283.3054065885373 -20.0
261 284.39086791646275 -20.0
262 285.4763292443882 -20.0
263 286.5617905723136 -20.0
264 287.64725190023904 -20.0
265 288.73271322816447 -20.0
266 289.8181745560899 -20.0
267 290.90363588401533 -20.0
268 291.98909721194076 -20.0
269 293.0745585398662 -20.0
270 294.1600198677916 -20.0
271 295.24548119571705 -20.0
272 296.3309425236425 -20.0
273 297.4164038515679 -20.0
